filename;violations
Report_-API.md;55
Report_1Forge-Finance-APIs.md;2
Report_500,000-Recipe-and-Grocery-Li.md;63
Report_Abusive-Experience-Report-API.md;3
Report_Accelerated-Mobile-Pages-(AMP).md;5
Report_Access-Analyzer.md;204
Report_Access-Approval-API.md;19
Report_Access-Context-Manager-API.md;14
Report_Account-and-Transaction-API-Sp.md;96
Report_Account-API.md;9
Report_Accountants-General,-Tripura.md;4
Report_Accounts-API.md;9
Report_ACE-Provisioning-ManagementPar.md;9
Report_Acko-General-Insurance-Limited.md;4
Report_Ad-Exchange-Buyer-API-II.md;113
Report_Ad-Exchange-Buyer-API.md;74
Report_Ad-Experience-Report-API.md;3
Report_Adafruit-IO-REST-API.md;325
Report_ADHybridHealthService.md;232
Report_Admin-SDK-API.md;21
Report_AdMob-API.md;16
Report_AdSense-Host-API.md;42
Report_AdSense-Management-API.md;55
Report_Advicent.FactFinderService.md;717
Report_AdvisorManagementClient.md;40
Report_Adyen-BinLookup-API.md;6
Report_Adyen-Checkout-API.md;17
Report_Adyen-Checkout-Utility-Service.md;5
Report_Adyen-for-Platforms-Account-A.md;34
Report_Adyen-for-Platforms-Fund-API.md;2
Report_Adyen-for-Platforms-Hosted-On.md;6
Report_Adyen-for-Platforms-Notificat.md;13
Report_Adyen-Payment-API.md;10
Report_Adyen-Payout-API.md;1
Report_Adyen-Recurring-API.md;4
Report_Adyen-Test-Cards-API.md;1
Report_Afterbanks-API.md;3
Report_AGCO-API.md;216
Report_agentOS-Api-V2,-Customer-Login.md;40
Report_Agricultural-Scientists-Recrui.md;2
Report_AI-Platform-Training--Predict.md;74
Report_AIception-Interactive.md;40
Report_AIIMS,-Patna.md;2
Report_AIIMS-Mangalagiri.md;2
Report_AIIMS-Rishikesh.md;2
Report_Airbyte-Configuration-API.md;481
Report_Airports-API-v2.md;10
Report_airportsapi.md;3
Report_Akeneo-PIM-REST-API.md;182
Report_Alexa-For-Business.md;491
Report_AltoroJ-REST-API.md;53
Report_Amazon-API-Gateway.md;816
Report_Amazon-AppConfig.md;196
Report_Amazon-Appflow.md;164
Report_Amazon-AppIntegrations-Service.md;89
Report_Amazon-AppStream.md;466
Report_Amazon-Athena.md;385
Report_Amazon-Augmented-AI-Runtime.md;32
Report_Amazon-Chime.md;1702
Report_Amazon-CloudDirectory.md;877
Report_Amazon-CloudFront.md;907
Report_Amazon-CloudHSM.md;132
Report_Amazon-CloudSearch-Domain.md;14
Report_Amazon-CloudSearch.md;376
Report_Amazon-CloudWatch-Application-.md;185
Report_Amazon-CloudWatch-Events.md;361
Report_Amazon-CloudWatch-Logs.md;418
Report_Amazon-CloudWatch.md;428
Report_Amazon-CodeGuru-Profiler.md;133
Report_Amazon-CodeGuru-Reviewer.md;86
Report_Amazon-Cognito-Identity-Provid.md;1176
Report_Amazon-Cognito-Identity.md;224
Report_Amazon-Cognito-Sync.md;126
Report_Amazon-Comprehend.md;769
Report_Amazon-Connect-Contact-Lens.md;9
Report_Amazon-Connect-Customer-Profil.md;257
Report_Amazon-Connect-Participant-Ser.md;62
Report_Amazon-Connect-Service.md;1369
Report_Amazon-Data-Lifecycle-Manager.md;37
Report_Amazon-Detective.md;183
Report_Amazon-DevOps-Guru.md;207
Report_Amazon-DocumentDB-with-MongoDB.md;712
Report_Amazon-DynamoDB-Accelerator-(D.md;195
Report_Amazon-DynamoDB-Streams.md;32
Report_Amazon-DynamoDB.md;439
Report_Amazon-EC2-Container-Registry.md;372
Report_Amazon-EC2-Container-Service.md;473
Report_Amazon-Elastic-Block-Store.md;51
Report_Amazon-Elastic-Container-Regis.md;204
Report_Amazon-Elastic-File-System.md;204
Report_Amazon-Elastic-Inference.md;28
Report_Amazon-Elastic-Kubernetes-Serv.md;241
Report_Amazon-Elastic-Transcoder.md;129
Report_Amazon-ElastiCache.md;1089
Report_Amazon-Elasticsearch-Service.md;385
Report_Amazon-EMR-Containers.md;78
Report_Amazon-EMR.md;291
Report_Amazon-EventBridge.md;393
Report_Amazon-Forecast-Query-Service.md;18
Report_Amazon-Forecast-Service.md;423
Report_Amazon-Fraud-Detector.md;644
Report_Amazon-FSx.md;406
Report_Amazon-GameLift.md;865
Report_Amazon-Glacier.md;213
Report_Amazon-GuardDuty.md;265
Report_Amazon-HealthLake.md;99
Report_Amazon-Honeycode.md;143
Report_Amazon-Inspector.md;306
Report_Amazon-Interactive-Video-Servi.md;194
Report_Amazon-Kinesis-Analytics.md;293
Report_Amazon-Kinesis-Firehose.md;94
Report_Amazon-Kinesis-Video-Signaling.md;17
Report_Amazon-Kinesis-Video-Streams-A.md;58
Report_Amazon-Kinesis-Video-Streams-M.md;9
Report_Amazon-Kinesis-Video-Streams.md;209
Report_Amazon-Kinesis.md;286
Report_Amazon-Lex-Model-Building-Serv.md;273
Report_Amazon-Lex-Model-Building-V2.md;526
Report_Amazon-Lex-Runtime-Service.md;44
Report_Amazon-Lex-Runtime-V2.md;42
Report_Amazon-Lightsail.md;1763
Report_Amazon-Location-Service.md;418
Report_Amazon-Lookout-for-Equipment.md;309
Report_Amazon-Lookout-for-Metrics.md;244
Report_Amazon-Lookout-for-Vision.md;188
Report_Amazon-Machine-Learning.md;215
Report_Amazon-Macie.md;48
Report_Amazon-Managed-Blockchain.md;178
Report_Amazon-Mechanical-Turk.md;220
Report_Amazon-Mobile-Analytics.md;5
Report_Amazon-Neptune.md;908
Report_Amazon-Personalize-Events.md;13
Report_Amazon-Personalize-Runtime.md;7
Report_Amazon-Personalize.md;450
Report_Amazon-Pinpoint-Email-Service.md;242
Report_Amazon-Pinpoint-SMS-and-Voice-.md;46
Report_Amazon-Pinpoint.md;998
Report_Amazon-Polly.md;56
Report_Amazon-Prometheus-Service.md;152
Report_Amazon-QLDB-Session.md;9
Report_Amazon-QuickSight.md;1089
Report_Amazon-Redshift.md;1596
Report_Amazon-Rekognition.md;721
Report_Amazon-Relational-Database-Ser.md;1944
Report_Amazon-Route-53-Domains.md;266
Report_Amazon-Route-53-Resolver.md;589
Report_Amazon-Route-53.md;393
Report_Amazon-S3-on-Outposts.md;44
Report_Amazon-Sagemaker-Edge-Manager.md;15
Report_Amazon-SageMaker-Feature-Store.md;34
Report_Amazon-SageMaker-Runtime.md;13
Report_Amazon-SageMaker-Service.md;1446
Report_Amazon-Simple-Email-Service.md;473
Report_Amazon-Simple-Notification-Ser.md;715
Report_Amazon-Simple-Queue-Service.md;258
Report_Amazon-Simple-Storage-Service.md;211
Report_Amazon-Simple-Systems-Manager-.md;1030
Report_Amazon-Simple-Workflow-Service.md;237
Report_Amazon-SimpleDB.md;80
Report_Amazon-Textract.md;168
Report_Amazon-Timestream-Query.md;132
Report_Amazon-Timestream-Write.md;203
Report_Amazon-Transcribe-Service.md;302
Report_Amazon-Translate.md;170
Report_Amazon-WorkDocs.md;372
Report_Amazon-WorkLink.md;224
Report_Amazon-WorkMail-Message-Flow.md;8
Report_Amazon-WorkMail.md;668
Report_Amazon-WorkSpaces.md;472
Report_AmazonApiGatewayManagementApi.md;14
Report_AmazonApiGatewayV2.md;328
Report_AmazonMQ.md;126
Report_AmazonMWAA.md;46
Report_AmazonNimbleStudio.md;451
Report_Analytics-Hub-API.md;30
Report_Analytics-Reporting-API.md;10
Report_Andaman-Law-College,-Andaman-.md;2
Report_Android-Device-Provisioning-Pa.md;38
Report_Android-Management-API.md;28
Report_Annunciator-content-API.md;7
Report_Anomaly-Detector-Client.md;9
Report_Anomaly-Finder-Client.md;6
Report_Antyodaya-Saral-Haryana,-Harya.md;2
Report_API-Client.md;43
Report_API-Discovery-Service.md;1
Report_Api-Documentation.md;23
Report_API-Endpoints.md;112
Report_API-for-the-COVID-19-Tracking-.md;13
Report_API-for-the-Settlement-Currenc.md;13
Report_API-Gateway-API.md;24
Report_API-iSendPro.md;13
Report_API-Keys-API.md;17
Report_API-v1.0.0.md;118
Report_API-V1.md;43
Report_api.clarify.io.md;66
Report_api.datumbox.com.md;57
Report_api.ecota.co-v2.md;43
Report_API.md;73
Report_api.video.md;58
Report_Api2Pdf---PDF-Generation,-Powe.md;7
Report_ApiDapp.md;26
Report_Apigee-API.md;231
Report_Apigee-Registry-API.md;60
Report_ApiManagementClient.md;10
Report_APOD.md;5
Report_App-Engine-Admin-API.md;94
Report_App-Store-Connect-API.md;444
Report_AppConfigurationManagementClie.md;46
Report_Application-Auto-Scaling.md;101
Report_Application-Insights-Data-Plane.md;17
Report_Application-Integration-API.md;79
Report_Application-Migration-Service.md;373
Report_ApplicationClient.md;48
Report_ApplicationInsightsManagementC.md;12
Report_AppPlatformManagementClient.md;77
Report_Apps-Script-API.md;30
Report_AppServiceCertificateOrders-AP.md;50
Report_AppServiceEnvironments-API-Cli.md;90
Report_AppServicePlans-API-Client.md;64
Report_AppVeyor-REST-API.md;62
Report_Appwrite.md;160
Report_Archive-API.md;5
Report_Area120-Tables-API.md;27
Report_ART19-Content-API-Documentation.md;115
Report_Article-Rewriter-and-Article-E.md;8
Report_Article-Search-API.md;5
Report_Artifact-Registry-API.md;44
Report_Artifact.md;78
Report_Asana.md;140
Report_Assam-State-Board-of-Secondary.md;2
Report_Assured-Workloads-API.md;28
Report_Asynchronous-Speech-To-Text-AP.md;7
Report_ATM-Locator-API.md;14
Report_AttestationClient.md;10
Report_Auckland-Museum-API.md;19
Report_Audit-API.md;0
Report_Authentication.md;4
Report_Authentiq-API.md;2
Report_AuthorizationManagementClient.md;14
Report_Authorized-Buyers-Marketplace-.md;76
Report_Authorized-Partner-API-Specifi.md;50
Report_Auto-Scaling.md;671
Report_Automata-Market-Intelligence-A.md;19
Report_AutomationManagement.md;17
Report_AutomationManagementClient.md;15
Report_AutoSuggest-Client.md;5
Report_Avaza-API-Documentation.md;180
Report_Aviation-Radiation-API.md;34
Report_AviationData.Systems-Airports-.md;13
Report_AWS-Amplify.md;213
Report_AWS-App-Mesh.md;329
Report_AWS-App-Runner.md;240
Report_AWS-Application-Cost-Profiler.md;32
Report_AWS-Application-Discovery-Serv.md;256
