title | number of Violations found
1Forge Finance APIs | 2
Events API | 8
Authentiq API | 2
Platform API | 52
Control API v1 | 7
IP geolocation API | 3
Adafruit IO REST API | 325
Adyen for Platforms: Account API | 34
Issuing: Balance Platform API | 2
Adyen BinLookup API | 6
Adyen Checkout API | 17
Adyen Checkout Utility Service | 5
Adyen for Platforms: Fund API | 2
Adyen for Platforms: Hosted Onboarding | 6
Adyen for Platforms: Notification Configuration API | 13
Adyen Payment API | 10
Adyen Payout API | 1
Adyen Recurring API | 4
Adyen Test Cards API | 1
Balance Platform Transfers API | 0
Afterbanks API | 3
AGCO API | 216
AIception Interactive | 40
Airbyte Configuration API | 481
airportsapi | 3
Akeneo PIM REST API | 182
Flight Offers Search | 3
AWS Migration Hub | 203
Access Analyzer | 204
AWS Certificate Manager | 122
AWS Certificate Manager Private Certificate Authority | 204
Alexa For Business | 491
Amazon Prometheus Service | 152
AWS Amplify | 213
Amazon API Gateway | 816
AmazonApiGatewayManagementApi | 14
AmazonApiGatewayV2 | 328
Amazon AppConfig | 196
Amazon Appflow | 164
Amazon AppIntegrations Service | 89
Application Auto Scaling | 101
Amazon CloudWatch Application Insights | 185
AWS Application Cost Profiler | 32
AWS App Mesh | 329
AWS App Runner | 240
Amazon AppStream | 466
AWS AppSync | 331
Amazon Athena | 385
AWS Audit Manager | 323
Auto Scaling | 671
AWS Auto Scaling Plans | 45
AWS Backup | 449
AWS Batch | 119
Braket | 90
AWS Budgets | 223
AWS Cost Explorer Service | 238
Amazon Chime | 1702
AWS Cloud9 | 130
Amazon CloudDirectory | 877
AWS CloudFormation | 564
Amazon CloudFront | 907
Amazon CloudHSM | 132
AWS CloudHSM V2 | 137
Amazon CloudSearch | 376
Amazon CloudSearch Domain | 14
AWS CloudTrail | 608
CodeArtifact | 334
AWS CodeBuild | 290
AWS CodeCommit | 1344
AWS CodeDeploy | 540
Amazon CodeGuru Reviewer | 86
Amazon CodeGuru Profiler | 133
AWS CodePipeline | 331
AWS CodeStar | 148
AWS CodeStar connections | 77
AWS CodeStar Notifications | 65
Amazon Cognito Identity | 224
Amazon Cognito Identity Provider | 1176
Amazon Cognito Sync | 126
Amazon Comprehend | 769
AWS Comprehend Medical | 226
AWS Compute Optimizer | 237
AWS Config | 642
Amazon Connect Service | 1369
Amazon Connect Contact Lens | 9
Amazon Connect Participant Service | 62
AWS Cost and Usage Report Service | 24
Amazon Connect Customer Profiles | 257
AWS Glue DataBrew | 172
AWS Data Exchange | 172
AWS Data Pipeline | 141
AWS DataSync | 249
Amazon DynamoDB Accelerator (DAX) | 195
Amazon Detective | 183
AWS Device Farm | 670
Amazon DevOps Guru | 207
AWS Direct Connect | 370
AWS Application Discovery Service | 256
Amazon Data Lifecycle Manager | 37
AWS Database Migration Service | 439
Amazon DocumentDB with MongoDB compatibility | 712
AWS Directory Service | 683
Amazon DynamoDB | 439
Amazon Elastic Block Store | 51
AWS EC2 Instance Connect | 24
Amazon EC2 Container Registry | 372
Amazon Elastic Container Registry Public | 204
Amazon EC2 Container Service | 473
Amazon Elastic Kubernetes Service | 241
Amazon Elastic  Inference | 28
Amazon ElastiCache | 1089
AWS Elastic Beanstalk | 435
Amazon Elastic File System | 204
Elastic Load Balancing | 491
Amazon EMR | 291
Amazon Elastic Transcoder | 129
Amazon Simple Email Service | 473
Amazon EMR Containers | 78
AWS Marketplace Entitlement Service | 7
Amazon Elasticsearch Service | 385
Amazon EventBridge | 393
Amazon CloudWatch Events | 361
FinSpace User Environment Management service | 41
FinSpace Public API | 227
Amazon Kinesis Firehose | 94
AWS Fault Injection Simulator | 44
Firewall Management Service | 363
Amazon Forecast Service | 423
Amazon Forecast Query Service | 18
Amazon Fraud Detector | 644
Amazon FSx | 406
Amazon GameLift | 865
Amazon Glacier | 213
AWS Global Accelerator | 443
AWS Glue | 1690
AWS Greengrass | 279
AWS IoT Greengrass V2 | 200
AWS Ground Station | 145
Amazon GuardDuty | 265
AWS Health APIs and Notifications | 77
Amazon HealthLake | 99
Amazon Honeycode | 143
AWS Identity and Access Management | 2158
AWS SSO Identity Store | 181
EC2 Image Builder | 599
Amazon Inspector | 306
AWS IoT | 1718
AWS IoT Data Plane | 61
AWS IoT Jobs Data Plane | 30
AWS IoT 1-Click Devices Service | 70
AWS IoT 1-Click Projects Service | 72
AWS IoT Analytics | 219
AWS IoT Core Device Advisor | 54
AWS IoT Events | 184
AWS IoT Events Data | 81
AWS IoT Fleet Hub | 40
AWS IoT Secure Tunneling | 36
AWS IoT SiteWise | 471
AWS IoT Things Graph | 270
AWS IoT Wireless | 754
Amazon Interactive Video Service | 194
Managed Streaming for Kafka | 262
AWSKendraFrontendService | 633
Amazon Kinesis | 286
Amazon Kinesis Video Streams Archived Media | 58
Amazon Kinesis Video Streams Media | 9
Amazon Kinesis Video Signaling Channels | 17
Amazon Kinesis Analytics | 293
Amazon Kinesis Video Streams | 209
AWS Key Management Service | 539
AWS Lake Formation | 378
AWS Lambda | 482
Amazon Lex Model Building Service | 273
AWS License Manager | 516
Amazon Lightsail | 1763
Amazon Location Service | 418
Amazon CloudWatch Logs | 418
Amazon Lookout for Equipment | 309
Amazon Lookout for Metrics | 244
Amazon Lookout for Vision | 188
Amazon Machine Learning | 215
Amazon Macie | 48
Amazon Managed Blockchain | 178
AWS Marketplace Catalog Service | 98
AWS Marketplace Commerce Analytics | 8
AWS MediaConnect | 382
AWS Elemental MediaConvert | 225
AWS Elemental MediaLive | 511
AWS Elemental MediaPackage | 128
AWS Elemental MediaPackage VOD | 115
AWS Elemental MediaStore | 166
AWS Elemental MediaStore Data Plane | 18
AWS MediaTailor | 58
AWSMarketplace Metering | 44
Application Migration Service | 373
AWS Migration Hub Config | 26
AWS Mobile | 67
Amazon Mobile Analytics | 5
Amazon Lex Model Building V2 | 526
Amazon CloudWatch | 428
AmazonMQ | 126
Amazon Mechanical Turk | 220
AmazonMWAA | 46
Amazon Neptune | 908
AWS Network Firewall | 341
AWS Network Manager | 626
AmazonNimbleStudio | 451
AWS OpsWorks | 512
AWS OpsWorks CM | 141
AWS Organizations | 660
AWS Outposts | 139
Amazon Personalize | 450
Amazon Personalize Events | 13
Amazon Personalize Runtime | 7
AWS Performance Insights | 42
Amazon Pinpoint | 998
Amazon Pinpoint Email Service | 242
Amazon Polly | 56
AWS Price List Service | 43
AWS Proton | 782
Amazon QLDB Session | 9
Amazon QuickSight | 1089
AWS Resource Access Manager | 362
Amazon Relational Database Service | 1944
AWS RDS DataService | 49
Amazon Redshift | 1596
Redshift Data API Service | 64
Amazon Rekognition | 721
AWS Resource Groups | 162
AWS Resource Groups Tagging API | 68
AWS RoboMaker | 359
Amazon Route 53 | 393
Amazon Route 53 Domains | 266
Amazon Route 53 Resolver | 589
Amazon Lex Runtime Service | 44
Amazon Lex Runtime V2 | 42
Amazon SageMaker Runtime | 13
Amazon Simple Storage Service | 211
AWS S3 Control | 204
Amazon S3 on Outposts | 44
Amazon SageMaker Service | 1446
Amazon Augmented AI Runtime | 32
Amazon Sagemaker Edge Manager | 15
Amazon SageMaker Feature Store Runtime | 34
AWS Savings Plans | 53
Schemas | 230
Amazon SimpleDB | 80
AWS Secrets Manager | 185
AWS SecurityHub | 395
AWSServerlessApplicationRepository | 88
Service Quotas | 202
AWS Service Catalog | 546
AWS Service Catalog App Registry | 118
AWS Cloud Map | 210
AWS Shield | 312
AWS Signer | 116
AWS Server Migration Service | 337
Amazon Pinpoint SMS and Voice Service | 46
Amazon Simple Notification Service | 715
Amazon Simple Queue Service | 258
Amazon Simple Systems Manager (SSM) | 1030
AWS Systems Manager Incident Manager Contacts | 359
AWS Systems Manager Incident Manager | 228
AWS Single Sign-On | 32
AWS Single Sign-On Admin | 345
AWS SSO OIDC | 26
AWS Step Functions | 181
AWS Storage Gateway | 600
